for test: 0.7055432   for test-21: 0.47341773,1,40,2000,[49]
for test: 0.7099778   for test-21: 0.48438817,1,40,2000,[49]
for test: 0.7232816   for test-21: 0.5164557,1,40,2000,[49]
for test: 0.7002217   for test-21: 0.4742616,1,40,2000,[49]
for test: 0.6971175   for test-21: 0.4827004,1,40,2000,[49]
for test: 0.6940133   for test-21: 0.45738396,3,40,2000,[162, 80, 120]
for test: 0.7184035   for test-21: 0.49451476,3,40,2000,[162, 80, 120]
for test: 0.7059867   for test-21: 0.4886076,3,40,2000,[162, 80, 120]
for test: 0.713082   for test-21: 0.48438817,3,40,2000,[162, 80, 120]
for test: 0.71042126   for test-21: 0.49029535,3,40,2000,[162, 80, 120]
for test: 0.6984479   for test-21: 0.4793249,5,40,2000,[170, 18, 93, 159, 15]
for test: 0.7361419   for test-21: 0.52827007,5,40,2000,[170, 18, 93, 159, 15]
for test: 0.7232816   for test-21: 0.5130802,5,40,2000,[170, 18, 93, 159, 15]
for test: 0.7135255   for test-21: 0.49198312,5,40,2000,[170, 18, 93, 159, 15]
for test: 0.71884704   for test-21: 0.5080169,5,40,2000,[170, 18, 93, 159, 15]
for test: 0.73037696   for test-21: 0.52827007,7,40,2000,[144, 97, 36, 160, 109, 7, 86]
for test: 0.74235034   for test-21: 0.5274262,7,40,2000,[144, 97, 36, 160, 109, 7, 86]
for test: 0.7175166   for test-21: 0.49535865,7,40,2000,[144, 97, 36, 160, 109, 7, 86]
for test: 0.7215078   for test-21: 0.4978903,7,40,2000,[144, 97, 36, 160, 109, 7, 86]
for test: 0.7152993   for test-21: 0.4827004,7,40,2000,[144, 97, 36, 160, 109, 7, 86]
for test: 0.735255   for test-21: 0.51898736,8,40,2000,[50, 117, 147, 158, 77, 111, 87, 81]
for test: 0.7192905   for test-21: 0.49873418,8,40,2000,[50, 117, 147, 158, 77, 111, 87, 81]
for test: 0.7077605   for test-21: 0.5206751,8,40,2000,[50, 117, 147, 158, 77, 111, 87, 81]
for test: 0.73924613   for test-21: 0.5257384,8,40,2000,[50, 117, 147, 158, 77, 111, 87, 81]
for test: 0.73569846   for test-21: 0.52911395,8,40,2000,[50, 117, 147, 158, 77, 111, 87, 81]
for test: 0.7232816   for test-21: 0.492827,8,40,2000,[119, 117, 61, 157, 84, 32, 86, 82]
for test: 0.7299335   for test-21: 0.5172996,8,40,2000,[119, 117, 61, 157, 84, 32, 86, 82]
for test: 0.73924613   for test-21: 0.5308017,8,40,2000,[119, 117, 61, 157, 84, 32, 86, 82]
for test: 0.74235034   for test-21: 0.5434599,8,40,2000,[119, 117, 61, 157, 84, 32, 86, 82]
for test: 0.72195125   for test-21: 0.51898736,8,40,2000,[119, 117, 61, 157, 84, 32, 86, 82]
for test: 0.724612   for test-21: 0.5080169,8,40,2000,[120, 118, 94, 156, 83, 32, 110, 93]
for test: 0.73170733   for test-21: 0.5257384,8,40,2000,[120, 118, 94, 156, 83, 32, 110, 93]
for test: 0.74101996   for test-21: 0.53333336,8,40,2000,[120, 118, 94, 156, 83, 32, 110, 93]
for test: 0.73569846   for test-21: 0.5257384,8,40,2000,[120, 118, 94, 156, 83, 32, 110, 93]
for test: 0.7192905   for test-21: 0.4978903,8,40,2000,[120, 118, 94, 156, 83, 32, 110, 93]
for test: 0.7299335   for test-21: 0.5274262,8,40,2000,[120, 98, 92, 156, 82, 110, 107, 90]
for test: 0.73348117   for test-21: 0.51898736,8,40,2000,[120, 98, 92, 156, 82, 110, 107, 90]
for test: 0.7259424   for test-21: 0.5232068,8,40,2000,[120, 98, 92, 156, 82, 110, 107, 90]
for test: 0.7286031   for test-21: 0.52489454,8,40,2000,[120, 98, 92, 156, 82, 110, 107, 90]
for test: 0.7299335   for test-21: 0.51392406,8,40,2000,[120, 98, 92, 156, 82, 110, 107, 90]
for test: 0.7361419   for test-21: 0.54599154,8,40,2000,[120, 99, 93, 147, 82, 97, 107, 92]
for test: 0.71884704   for test-21: 0.51898736,8,40,2000,[120, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7343681   for test-21: 0.5308017,8,40,2000,[120, 99, 93, 147, 82, 97, 107, 92]
for test: 0.73702884   for test-21: 0.5324895,8,40,2000,[120, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7361419   for test-21: 0.5392405,8,40,2000,[120, 99, 93, 147, 82, 97, 107, 92]
for test: 0.72815967   for test-21: 0.5080169,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7321508   for test-21: 0.5308017,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7339246   for test-21: 0.5350211,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.73791575   for test-21: 0.5383966,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7414634   for test-21: 0.54092824,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.71796006   for test-21: 0.5156118,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.74634147   for test-21: 0.5476793,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7290466   for test-21: 0.52405065,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.73037696   for test-21: 0.5375527,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
for test: 0.7268293   for test-21: 0.5029536,8,40,2000,[119, 99, 93, 147, 82, 97, 107, 92]
